id,title,address,price,surface,rooms,property_type,latitude,longitude,description,features,source,url,scraped_at,property_type_extracted,qualitative_features
1722,Charming Studio with RESORT STYLE Amenities- Pet Friendly!,Sherman Oaks,2095.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-charming-studio-with/7867088736.html,2025-08-09,studio,['unknown']
1723,Gorgeous STUDIO Apartment in the heart of Santa Monica.,Sunset Park,1150.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/santa-monica-gorgeous-studio-apartment/7872347484.html,2025-08-09,studio,['unknown']
1724,Studio in Koreatown -SS Appliances -Balcony -W/D -Brand New,Close to DTLA + Koreatown,1745.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-koreatown-ss/7872347462.html,2025-08-09,studio,['unknown']
1725,Studio in Modern Community in NoHo Arts District | SS Appliances,North Hollywood,2295.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-studio-in-modern-community/7872345573.html,2025-08-09,studio,['unknown']
1726,"Pickleball, Sand Volleyball, Steam Room, Dance Studio, Theater & More",Sherman Oaks,2095.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-pickleball-sand-volleyball/7867586602.html,2025-08-09,studio,['unknown']
1727,FREE FREE 1st mo 300+sqsf BIGGEST PATIO - Studio w/ W/D,North Hollywood,2295.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-free-free-1st-mo-300sqsf/7868031664.html,2025-08-09,studio,['unknown']
1728,Beverly Grove/Beverly Hills Studio + Hardwood Style Floors + A/C,Next to Beverly Hills,1820.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-beverly-grove-beverly-hills/7868516110.html,2025-08-09,studio,['unknown']
1729,Spacious 2nd Floor Studio Near Courthouse/$1000 off 1st Month's Rent,Long Beach,1650.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-spacious-2nd-floor-studio/7871793817.html,2025-08-09,studio,['spacious']
1730,Top Floor Studio Across from Alamitos Beach - $1000 off 1st Month's Re,Long Beach,1625.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-top-floor-studio-across-from/7870981030.html,2025-08-09,studio,['unknown']
1731,Studio Across from Alamitos Beach $1000 off 1st Month,Long Beach,1625.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-studio-across-from-alamitos/7868753744.html,2025-08-09,studio,['unknown']
1732,DTLB Corner Studio $1000 off 1st Month Rent,Long Beach,1635.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-dtlb-corner-studio-1000-off/7871793972.html,2025-08-09,studio,['unknown']
1733,Historic Casa Bonita Studio $1000 off 1st Month Rent,Long Beach,1635.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-historic-casa-bonita-studio/7871794591.html,2025-08-09,studio,['unknown']
1734,Check out our Studio. Every convenience your heart desires!,Studio City,1596.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/valley-village-check-out-our-studio/7866773379.html,2025-08-09,studio,['unknown']
1735,"Hola, Welcome, Great Studio",long beach,1025.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-hola-welcome-great-studio/7872337056.html,2025-08-09,studio,['unknown']
1736,Wow! This Studio Apartment is simply stunning! 725 Sq Ft!,Northridge,2295.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/northridge-wow-this-studio-apartment-is/7866447574.html,2025-08-09,studio,['unknown']
